!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
BROM	ˈb r ɑː m
BROMAN	ˈb r o ʊ m ə n
BROMBERG	ˈb r ɑː m b ɝ g
BROMFIELD	ˈb r ɑː m ˌf iː l d
BROMFIELD'S	ˈb r ɑː m ˌf iː l d z
BROMIDE	ˈb r o ʊ ˌm a ɪ d
BROMIDES	ˈb r o ʊ ˌm a ɪ d z
BROMINE	ˈb r o ʊ ˌm iː n
BROMLEY	ˈb r ɑː m l i
BROMM	ˈb r ɑː m
BROMMER	ˈb r ɑː m ɝ
BROMONT	ˈb r o ʊ ˌm ɑː n t
BROMPHERIL	ˈb r ɑː m f ɛ r ɪ l
BROMWELL	ˈb r ɑː m ˌw ɛ l
BROMWICH	ˈb r ɑː m w ɪ t ʃ
BRONAUGH	ˈb r ɑː n ɔ
BRONC	ˈb r ɑː ŋ k
BRONCHIAL	ˈb r ɑː n t ʃ iː ə l
BRONCHITIS	b r ɑː ŋ ˈk a ɪ t ə s
BRONCHOSCOPE	ˈb r ɑː n k ə ˈs k o ʊ p
BRONCO	ˈb r ɑː ŋ k o ʊ
BRONCOS	ˈb r ɑː ŋ k o ʊ z
BRONDER	ˈb r ɑː n d ɝ
BRONER	ˈb r o ʊ n ɝ
BRONFMAN	ˈb r ɑː n f m ə n
BRONFMAN'S	ˈb r ɑː n f m ə n z
BRONFMANS	ˈb r ɑː n f m ə n z
BRONK	ˈb r ɑː ŋ k
BRONKEMA	b r ə ŋ ˈk iː m ə
BRONN	ˈb r ɑː n
BRONNER	ˈb r ɑː n ɝ
BRONS	ˈb r ɑː n z
BRONSON	ˈb r ɑː n s ə n
BRONSTEIN	ˈb r ɑː n ˌs t iː n
BRONSTEIN	ˈb r ɑː n ˌs t a ɪ n
BRONSTON	ˈb r ɑː n s t ə n
BRONTE	ˈb r ɑː n t i
BRONTE'S	ˈb r ɑː n t iː z
BRONTOSAURUS	ˌb r ɔ n t ə ˈs ɔ r ə s
BRONTOSAURUS	ˌb r ɔ n ə ˈs ɔ r ə s
BRONWEN	ˈb r ɔ n w ɪ n
BRONWYN	ˈb r ɑː n w ɪ n
BRONX	ˈb r ɑː ŋ k s
BRONY	ˈb r o ʊ ˌn iː
BRONZE	ˈb r ɑː n z
BRONZED	ˈb r ɑː n z d
BRONZEN	ˈb r ɑː n z ə n
BRONZES	ˈb r ɑː n z ə z
BRONZES	ˈb r ɑː n z ɪ z
BROOCH	ˈb r uː t ʃ
BROOCH	ˈb r o ʊ t ʃ
BROOD	ˈb r uː d
BROODED	ˈb r uː d ɪ d
BROODING	ˈb r uː d ɪ ŋ
BROODY	ˈb r uː d i
BROOK	ˈb r ʊ k
BROOK'S	ˈb r ʊ k s
BROOKBANK	ˈb r ʊ k ˌb æ ŋ k
BROOKE	ˈb r ʊ k
BROOKE'S	ˈb r ʊ k s
BROOKEHILL	ˈb r ʊ k ˌh ɪ l
BROOKEN	ˈb r ʊ k ə n
BROOKENS	ˈb r ʊ k ə n z
BROOKER	ˈb r ʊ k ɝ
BROOKES	ˈb r ʊ k s
BROOKFIELD	ˈb r ʊ k ˌf iː l d
BROOKHART	ˈb r uː k h ɑː r t
BROOKHAVEN	ˈb r ʊ k ˌh e ɪ v ə n
BROOKHURST	ˈb r ʊ k ˌh ɝː s t
BROOKING	ˈb r ʊ k ɪ ŋ
BROOKINGS	ˈb r ʊ k ɪ ŋ z
BROOKINS	ˈb r uː k ɪ n z
BROOKLINE	ˈb r ʊ ˌk l a ɪ n
BROOKLYN	ˈb r ʊ k l ə n
BROOKLYN	ˈb r ʊ k l ɪ n
BROOKLYN'S	ˈb r ʊ k l ə n z
BROOKLYN'S	ˈb r ʊ k l ɪ n z
BROOKMAN	ˈb r ʊ k m ə n
BROOKNER	ˈb r ʊ k n ɝ
BROOKNER'S	ˈb r ʊ k n ɝ z
BROOKOVER	ˈb r ʊ ˌk o ʊ v ɝ
BROOKS	ˈb r ʊ k s
BROOKS'	ˈb r ʊ k s
BROOKS'S	ˈb r ʊ k s ɪ z
BROOKS'S	ˈb r ʊ k s
BROOKSHIER	ˈb r uː k ʃ iː ɝ
BROOKSHIRE	ˈb r uː k ʃ a ɪ r
BROOKSIDE	ˈb r ʊ k ˌs a ɪ d
BROOKSTONE	ˈb r ʊ k ˌs t o ʊ n
BROOKSVILLE	ˈb r ʊ k s v ɪ l
BROOKSVILLE'S	ˈb r ʊ k s v ɪ l z
BROOM	ˈb r uː m
BROOMALL	ˈb r uː m ə l
BROOME	ˈb r uː m
BROOMFIELD	ˈb r uː m ˌf iː l d
BROOMS	ˈb r uː m z
BROOMSTICK	ˈb r uː m ˌs t ɪ k
BROOMSTICKS	ˈb r uː m ˌs t ɪ k s
BROPHY	ˈb r o ʊ f i
BROSCH	ˈb r ɔ ʃ
BROSE	ˈb r o ʊ z
BROSH	ˈb r ɑː ʃ
BROSHEARS	ˈb r ɑː ʃ ɪ r z
BROSIOUS	ˈb r o ʊ z iː ə s
BROSIUS	ˈb r o ʊ s iː ɪ s
BROSKI	ˈb r a ʊ s k i
BROSKY	ˈb r ɑː s k i
BROSNAHAN	ˈb r ɑː s n ə h æ n
BROSNAN	ˈb r ɑː s n ə n
BROSS	ˈb r ɔ s
BROSSARD	b r ə ˈs ɑː r d
BROSSART	ˈb r ɑː s ɑː r t
BROSSEAU	b r ə ˈs o ʊ
BROSSER	ˈb r ɑː s ɝ
BROSSETTE	b r ə ˈs ɛ t
BROSSMAN	ˈb r ɔ s m ə n
BROST	ˈb r ɑː s t
BROSTROM	ˈb r ɑː s t r ə m
BROSZ	ˈb r ɑː ʃ
BROTEN	ˈb r o ʊ t ə n
BROTH	ˈb r ɔ θ
BROTHEL	ˈb r ɑː θ ə l
BROTHELS	ˈb r ɑː θ ə l z
BROTHER	ˈb r ʌ ð ɝ
BROTHER'S	ˈb r ʌ ð ɝ z
BROTHER-IN-LAW	ˈb r ʌ ð ɝ ɪ n ˌl ɔ
BROTHERHOOD	ˈb r ʌ ð ɝ ˌh ʊ d
BROTHERLY	ˈb r ʌ ð ɝ l i
BROTHERS	ˈb r ʌ ð ɝ z
BROTHERS'	ˈb r ʌ ð ɝ z
BROTHERS'S	ˈb r ʌ ð ɝ z ɪ z
BROTHERS-IN-LAW	ˈb r ʌ ð ɝ z ɪ n ˌl ɔ
BROTHERSON	ˈb r ʌ ð ɝ s ə n
BROTHERTON	ˈb r ʌ ð ɝ t ə n
BROTHS	ˈb r ɔ θ s
BROTMAN	ˈb r ɑː t m ə n
BROTT	ˈb r ɑː t
BROTZMAN	ˈb r ɑː t s m ə n
BROUCEK	ˈb r uː t ʃ ɛ k
BROUDY	ˈb r a ʊ d i
BROUGH	ˈb r a ʊ
BROUGHAM	ˈb r uː g ə m
BROUGHER	ˈb r a ʊ ɝ
BROUGHMAN	ˈb r a ʊ m ə n
BROUGHT	ˈb r ɔ t
BROUGHTON	ˈb r ɔ t ə n
BROUHAHA	ˈb r uː h ɑː ˌh ɑː
BROUHARD	ˈb r ɑː uː ɝ d
BROUILLARD	b r w iː ˈl ɑː r d
BROUILLET	b r w iː ˈl ɛ t
BROUILLETTE	b r w iː ˈl ɛ t
BROUN	ˈb r uː n
BROUNTAS	ˈb r a ʊ n t ə s
BROUSE	ˈb r a ʊ s
BROUSSARD	b r uː ˈs ɑː r d
BROUSSEAU	ˌb r uː ˈs o ʊ
BROUSSET	ˈb r uː s ɛ t
BROUWER	ˈb r a ʊ w ɝ
BROW	ˈb r a ʊ
BROWARD	ˈb r a ʊ ɝ d
BROWBEAT	ˈb r a ʊ ˌb iː t
BROWDER	ˈb r a ʊ d ɝ
BROWE	ˈb r o ʊ
BROWED	ˈb r a ʊ d
BROWER	ˈb r a ʊ ɝ
BROWN	ˈb r a ʊ n
BROWN'S	ˈb r a ʊ n z
BROWNBACK	ˈb r a ʊ n ˌb æ k
BROWNE	ˈb r a ʊ n
BROWNED	ˈb r a ʊ n d
BROWNELL	b r a ʊ ˈn ɛ l
BROWNER	ˈb r a ʊ n ɝ
BROWNEST	ˈb r a ʊ n ɪ s t
BROWNFIELD	ˈb r a ʊ n ˌf iː l d
BROWNFIELDS	ˈb r a ʊ n ˌf iː l d z
BROWNIE	ˈb r a ʊ n i
BROWNIES	ˈb r a ʊ n iː z
BROWNING	ˈb r a ʊ n ɪ ŋ
BROWNING'S	ˈb r a ʊ n ɪ ŋ z
BROWNISH	ˈb r a ʊ n ɪ ʃ
BROWNLEE	ˈb r a ʊ n l i
BROWNLEY	ˈb r a ʊ n l i
BROWNLIE	ˈb r a ʊ n l i
BROWNLOW	ˈb r a ʊ n ˌl o ʊ
BROWNMILLER	ˈb r a ʊ n ˌm ɪ l ɝ
BROWNOUT	ˈb r a ʊ ˌn a ʊ t
BROWNOUTS	ˈb r a ʊ ˌn a ʊ t s
BROWNRIGG	ˈb r a ʊ n r ɪ g
BROWNS	ˈb r a ʊ n z
BROWNS'	ˈb r a ʊ n z
BROWNSON	ˈb r a ʊ n s ə n
BROWNSTEIN	ˈb r a ʊ n ˌs t a ɪ n
BROWNSTEIN	ˈb r a ʊ n ˌs t iː n
BROWNSTONE	ˈb r a ʊ n ˌs t o ʊ n
BROWNSVILLE	ˈb r a ʊ n z v ɪ l
BROWS	ˈb r a ʊ z
BROWSE	ˈb r a ʊ z
BROWSED	ˈb r a ʊ z d
BROWSER	ˈb r a ʊ z ɝ
BROWSERS	ˈb r a ʊ z ɝ z
BROWSING	ˈb r a ʊ z ɪ ŋ
BROX	ˈb r ɑː k s
BROXSON	ˈb r ɑː k s ə n
BROXTERMAN	ˈb r ɑː k s t ɝ m ə n
BROXTON	ˈb r ɑː k s t ə n
BROY	ˈb r ɔ ɪ
BROYARD	ˈb r ɔ ɪ ɝ d
BROYHILL	ˈb r ɔ ɪ ˌh ɪ l
BROYLES	ˈb r ɔ ɪ l z
BROZ	ˈb r ɑː z
BROZEK	ˈb r o ʊ z ɛ k
BROZMAN	ˈb r ɑː z m ə n
BROZOVICH	ˈb r ɑː z ə v ɪ t ʃ
BROZOWSKI	b r ə ˈz ɔ f s k i
BRUBAKER	ˈb r ʌ b ə k ɝ
BRUBECK	ˈb r uː ˌb ɛ k
BRUCATO	b r uː ˈk ɑː t o ʊ
BRUCE	ˈb r uː s
BRUCE'S	ˈb r uː s ə z
BRUCH	ˈb r ʌ t ʃ
BRUCHHAUSEN	ˈb r uː k ˌh a ʊ z ə n
BRUCIE	ˈb r ʌ k i
BRUCITE	ˈb r uː ˌs a ɪ t
BRUCK	ˈb r ʌ k
BRUCK'S	ˈb r ʌ k s
BRUCKER	ˈb r ʌ k ɝ
BRUCKHEIMER	ˈb r ʌ k ˌh a ɪ m ɝ
BRUCKMAN	ˈb r ʌ k m ə n
BRUCKNER	ˈb r ʌ k n ɝ
BRUCKS	ˈb r ʌ k s
BRUDER	ˈb r uː d ɝ
BRUE	ˈb r uː
BRUECHER	ˈb r uː t ʃ ɝ
BRUECK	ˈb r uː k
BRUECKNER	ˈb r ʊ k n ɝ
BRUEGGE	ˈb r uː g ə
BRUEGGEMAN	ˈb r uː g m ə n
BRUEGGEMANN	ˈb r uː g m ə n
BRUEGGEN	ˈb r uː g ə n
BRUEGGER	ˈb r uː g ɝ
BRUEGGER'S	ˈb r uː g ɝ z
BRUEHL	ˈb r uː l
BRUELLA	ˌb r uː ˈɛ l ə
BRUEMMER	ˈb r uː m ɝ
BRUEN	ˈb r uː n
BRUENING	ˈb r uː n ɪ ŋ
BRUER	ˈb r uː ɝ
BRUFF	ˈb r ʌ f
BRUFORD	ˈb r uː f ɝ d
BRUGES	ˈb r uː d ʒ ɪ z
BRUGES	ˈb r uː ʒ
BRUGGEMAN	ˈb r ʌ g m ə n
BRUGGER	ˈb r ʌ g ɝ
BRUGH	ˈb r ʌ
BRUGMAN	ˈb r ʌ g m ə n
BRUHA	ˈb r uː h ə
BRUHL	ˈb r ʌ l
BRUHN	ˈb r ʌ n
BRUIN	ˈb r uː ɪ n
BRUIN'S	ˈb r uː ɪ n z
BRUINGTON	ˈb r uː ɪ ŋ t ə n
BRUINS	ˈb r uː ɪ n z
BRUINSMA	b r uː ˈɪ n s m ə
BRUISE	ˈb r uː z
BRUISED	ˈb r uː z d
BRUISES	ˈb r uː z ə z
BRUISES	ˈb r uː z ɪ z
BRUISING	ˈb r uː z ɪ ŋ
BRULE	ˈb r uː l
BRULEY	ˈb r uː l i
BRUM	ˈb r ʌ m
BRUMBACH	ˈb r ʌ m ˌb ɑː k
BRUMBACK	ˈb r ʌ m ˌb æ k
BRUMBAUGH	ˈb r ʌ m ˌb ɔ
BRUMBELOW	ˈb r ʌ m b ɪ l o ʊ
BRUMER	ˈb r uː m ɝ
BRUMETT	ˈb r ʌ m ɪ t
BRUMFIELD	ˈb r ʌ m ˌf iː l d
BRUMIT	ˈb r uː m ɪ t
BRUMITT	ˈb r uː m ɪ t
BRUMLEY	ˈb r ʌ m l i
BRUMLOW	ˈb r ʌ m l o ʊ
BRUMM	ˈb r ʌ m
BRUMMEL	ˈb r ʌ m ə l
BRUMMELL	ˈb r ʌ m ə l
BRUMMER	ˈb r ʌ m ɝ
BRUMMET	ˈb r ʌ m ɪ t
BRUMMETT	ˈb r ʌ m ɪ t
BRUMMITT	ˈb r ʌ m ɪ t
BRUMMOND	ˈb r ʌ m ə n d
BRUN	ˈb r ʌ n
BRUNA	ˈb r uː n ə
BRUNCH	ˈb r ʌ n t ʃ
BRUNCHES	ˈb r ʌ n t ʃ ɪ z
BRUNCOR	ˈb r ʌ n ˌk ɔ r
BRUNDAGE	ˈb r ʌ n d ɪ d ʒ
BRUNDIDGE	ˈb r ʌ n d ɪ d ʒ
BRUNDIGE	ˈb r ʌ n d ɪ g
BRUNDTLAND	ˈb r ʌ n t l ə n d
BRUNE	ˈb r uː n
BRUNEAU	b r ə ˈn o ʊ
BRUNEI	b r uː ˈn a ɪ
BRUNELL	ˈb r ʌ n ə l
BRUNELLA	ˌb r uː ˈn ɛ l ə
BRUNELLE	b r ə ˈn ɛ l
BRUNELLI	b r uː ˈn ɛ l i
BRUNER	ˈb r uː n ɝ
BRUNET	b r uː ˈn ɛ t
BRUNETT	ˈb r ʌ n ɪ t
BRUNETTA	b r uː ˈn ɛ t ə
BRUNETTE	b r uː ˈn ɛ t
BRUNETTES	b r uː ˈn ɛ t s
BRUNETTI	b r uː ˈn ɛ t i
BRUNETTO	b r uː ˈn ɛ t o ʊ
BRUNEY	ˈb r uː n i
BRUNGARD	ˈb r ʌ ŋ g ɝ d
BRUNGARDT	ˈb r ʌ ŋ g ɑː r t
BRUNGER	ˈb r ʌ ŋ ɝ
BRUNHILDA	b r uː n ˈh iː l d ə
BRUNI	ˈb r uː n i
BRUNICK	ˈb r uː n ɪ k
BRUNING	ˈb r uː n ɪ ŋ
BRUNJES	b r ə n ˈʒ iː z
BRUNK	ˈb r ʌ ŋ k
BRUNKE	ˈb r ʌ ŋ k
BRUNKEN	ˈb r ʌ ŋ k ə n
BRUNKER	ˈb r ʌ ŋ k ɝ
BRUNKHORST	ˈb r ʌ ŋ k h ɔ r s t
BRUNKOW	ˈb r ʌ ŋ k o ʊ
BRUNN	ˈb r ʌ n
BRUNNER	ˈb r ʌ n ɝ
BRUNNHILDE	ˈb r ʌ n h ɪ l d
BRUNO	ˈb r uː n o ʊ
BRUNO'S	ˈb r uː n o ʊ z
BRUNS	ˈb r ʌ n z
BRUNSKILL	ˈb r ʌ n ˌs k ɪ l
BRUNSMAN	ˈb r ʌ n s m ə n
BRUNSON	ˈb r ʌ n s ə n
BRUNSVOLD	ˈb r ʌ n z ˌv o ʊ l d
BRUNSWICK	ˈb r ʌ n z w ɪ k
BRUNSWICK'S	ˈb r ʌ n z w ɪ k s
BRUNSWIG	ˈb r ʌ n s w ɪ g
BRUNSWIG'S	ˈb r ʌ n s w ɪ g z
BRUNT	ˈb r ʌ n t
BRUNTJEN	ˈb r ʌ n t ˌd ʒ ɛ n
BRUNTON	ˈb r ʌ n t ə n
BRUNTY	ˈb r ʌ n t i
BRUNTZ	ˈb r ʌ n t s
BRUS	ˈb r ʌ s
BRUSCA	ˈb r ʌ s k ə
BRUSCHI	ˈb r uː s k i
BRUSCO	ˈb r uː s k o ʊ
BRUSE	ˈb r uː z
BRUSETT	b r ʊ ˈs ɛ t
BRUSETT	ˌb r uː ˈs ɛ t
BRUSETTE	ˌb r uː ˈs ɛ t
BRUSH	ˈb r ʌ ʃ
BRUSHABER	ˈb r ʌ ʃ ə b ɝ
BRUSHED	ˈb r ʌ ʃ t
BRUSHES	ˈb r ʌ ʃ ɪ z
BRUSHFIRE	ˈb r ʌ ʃ ˌf a ɪ r
BRUSHFIRES	ˈb r ʌ ʃ ˌf a ɪ r z
BRUSHING	ˈb r ʌ ʃ ɪ ŋ
BRUSHWORK	ˈb r ʌ ˌʃ w ɝː k
BRUSHY	ˈb r ʌ ʃ i
BRUSKE	ˈb r ʌ s k
BRUSKI	ˈb r ʌ s k i
BRUSKY	ˈb r ʌ s k i
BRUSO	ˈb r uː s o ʊ
BRUSQUE	ˈb r ʌ s k
BRUSQUELY	ˈb r ʌ s k l i
BRUSS	ˈb r ʌ s
BRUSSEAU	b r ə ˈs o ʊ
BRUSSEL	ˈb r ʌ s ə l
BRUSSELMANS	ˈb r ʌ s ə l m ə n z
BRUSSELS	ˈb r ʌ s ə l z
BRUST	ˈb r ʌ s t
BRUSTER	ˈb r ʌ s t ɝ
BRUSTOLONI	ˈb r uː s t o ʊ ˈl o ʊ n i
BRUT	ˈb r uː t
BRUTAL	ˈb r uː t ə l
BRUTALITIES	b r uː ˈt æ l ə t iː z
BRUTALITY	b r uː ˈt æ l ə t i
BRUTALITY	b r uː ˈt æ l ɪ t i
BRUTALIZATION	ˈb r uː t ə l ə ˌz e ɪ ʃ ə n
BRUTALIZE	ˈb r uː t ə ˌl a ɪ z
BRUTALIZED	ˈb r uː t ə ˌl a ɪ z d
BRUTALIZES	ˈb r uː t ə ˌl a ɪ z ɪ z
BRUTALIZING	ˈb r uː t ə ˌl a ɪ z ɪ ŋ
BRUTALLY	ˈb r uː t ə l i
BRUTE	ˈb r uː t
BRUTING	ˈb r uː t ɪ ŋ
BRUTISH	ˈb r uː t ɪ ʃ
BRUTON	ˈb r uː t ə n
BRUTSCHE	ˈb r ʌ t ʃ i
BRUTUS	ˈb r uː t ə s
BRUUN	ˈb r uː n
BRUXELLES	b r ə k ˈs ɛ l ə s
BRUYETTE	b r uː ˈɛ t
BRUYNES	ˈb r uː ɪ n z
BRUZZESE	b r uː t ˈs e ɪ z i
BRYAN	ˈb r a ɪ ə n
BRYAN'S	ˈb r a ɪ ə n z
BRYANS	ˈb r a ɪ ə n z
BRYANS'	ˈb r a ɪ ə n z
BRYANT	ˈb r a ɪ ə n t
BRYARS	ˈb r a ɪ ɝ z
BRYCE	ˈb r a ɪ s
BRYDEN	ˈb r a ɪ d ə n
BRYDGES	ˈb r ɪ d ʒ ɪ z
BRYDIE	ˈb r ɪ d i
BRYDON	ˈb r ɪ d ə n
BRYE	ˈb r a ɪ
BRYEN	ˈb r a ɪ ə n
BRYER	ˈb r a ɪ ɝ
BRYK	ˈb r ɪ k
BRYMER	ˈb r a ɪ m ɝ
BRYN	ˈb r ɪ n
BRYNA	ˈb r ɪ n ə
BRYNE	ˈb r a ɪ n
BRYNER	ˈb r a ɪ n ɝ
BRYNGELSON	ˈb r ɪ ŋ g ɪ l s ə n
BRYON	ˈb r a ɪ ə n
BRYS	ˈb r ɪ s
BRYSON	ˈb r a ɪ s ə n
BRZEZINSKI	b r ɪ ˈz ɪ n s k i
BRZOSKA	ˈb r o ʊ s k ə
BRZOZOWSKI	b r ə ˈz ɔ f s k i
BRZYCKI	ˈb r ɪ t s k i
BT	ˈb iː ˈt iː
BTA	ˈb iː ˈt iː ˈe ɪ
BUA	ˈb j uː ə
BUA	ˈb iː ˈj uː ˈe ɪ
BUB	ˈb ʌ b
BUBAR	ˈb uː b ɝ
BUBB	ˈb ʌ b
BUBBA	ˈb ʌ b ə
BUBBLE	ˈb ʌ b ə l
BUBBLED	ˈb ʌ b ə l d
BUBBLES	ˈb ʌ b ə l z
BUBBLING	ˈb ʌ b ə l ɪ ŋ
BUBBLING	ˈb ʌ b l ɪ ŋ
BUBBLY	ˈb ʌ b l i
BUBBLY	ˈb ʌ b ə l i
BUBECK	ˈb uː b ɛ k
BUBEL	ˈb uː b ə l
BUBIER	ˈb j uː b iː ɝ
BUBINGA	b ə ˈb ɪ ŋ g ə
BUBKA	ˈb ʌ b k ə
BUBLITZ	ˈb ʌ b l ɪ t s
BUBOLTZ	ˈb j uː ˌb o ʊ l t s
BUBOLZ	ˈb j uː ˌb o ʊ l z
BUBONIC	b j uː ˈb ɑː n ɪ k
BUC	ˈb ʌ k
BUCARO	b uː ˈk ɑː r o ʊ
BUCASE	ˈb j uː ˌk e ɪ s
BUCCAL	ˈb j uː k ə l
BUCCANEER	ˌb ə k ə ˈn iː r
BUCCANEERS	ˌb ə k ə ˈn iː r z
BUCCELLATO	b uː t ʃ ɛ ˈl ɑː t o ʊ
BUCCHERI	b uː ˈk ɛ r i
BUCCI	ˈb uː t ʃ i
BUCCIARELLI	b uː t ʃ ɝ ˈɛ l i
BUCCIERI	b uː ˈt ʃ ɪ r i
BUCCINO	b uː ˈt ʃ iː n o ʊ
BUCCO	ˈb uː k o ʊ
BUCCOLA	b uː ˈk o ʊ l ə
BUCEK	ˈb uː t ʃ ɛ k
BUCEY	ˈb j uː s i
BUCH	ˈb ʌ t ʃ
BUCHALTER	ˈb ʌ k ə l t ɝ
BUCHAN	ˈb ʌ k ə n
BUCHANAN	b j uː ˈk æ n ə n
BUCHANAN'S	b j uː ˈk æ n ə n z
BUCHANANISM	b j uː ˈk æ n ə ˌn ɪ z ə m
BUCHANANS	b j uː ˈk æ n ə n z
BUCHANNAN	b j uː ˈk æ n ə n
BUCHANON	b j uː ˈk æ n ə n
BUCHAREST	ˈb uː k ə ˌr ɛ s t
BUCHBERGER	ˈb ʌ k b ɝ g ɝ
BUCHBINDER	ˈb ʌ k ˌb ɪ n d ɝ
BUCHBINDER	ˈb ʊ k ˌb a ɪ n d ɝ
BUCHE	ˈb ʌ t ʃ
BUCHEN	ˈb ʌ k ə n
BUCHENWALD	ˈb j uː k ɛ n ˌw ɑː l d
BUCHER	ˈb ʌ k ɝ
BUCHERT	ˈb ʌ t ʃ ɝ t
BUCHHEIT	ˈb ʌ k h a ɪ t
BUCHHOLTZ	ˈb ʌ k h o ʊ l t s
BUCHHOLZ	ˈb ʌ k h o ʊ l z
BUCHI	ˈb ʌ t ʃ i
BUCHI	ˈb uː t ʃ i
BUCHI'S	ˈb ʌ t ʃ iː z
BUCHI'S	ˈb uː t ʃ iː z
BUCHINGER	ˈb ʌ k ɪ n d ʒ ɝ
BUCHKO	ˈb ʌ t ʃ k o ʊ
BUCHLER	ˈb ʌ k ə l ɝ
BUCHLER	ˈb ʌ k l ɝ
BUCHMAN	ˈb ʌ k m ə n
BUCHMANN	ˈb ʌ k m ə n
BUCHMILLER	ˈb ʌ k m ə l ɝ
BUCHMILLER	ˈb ʊ k m ə l ɝ
BUCHNER	ˈb ʌ k n ɝ
BUCHOLTZ	ˈb ʌ k o ʊ l t s
BUCHOLTZ	ˈb ʊ k o ʊ l t s
BUCHOLZ	ˈb ʌ k o ʊ l z
BUCHS	ˈb ʌ k s
BUCHSBAUM	ˈb ʌ k s b a ʊ m
BUCHTA	ˈb ʌ t ʃ t ə
BUCHTER	ˈb ʌ k t ɝ
BUCHWALD	ˈb ʌ k w ɔ l d
BUCK	ˈb ʌ k
BUCK'S	ˈb ʌ k s
BUCKALEW	ˈb ʌ k ə l uː
BUCKBEE	ˈb ʌ k ˌb iː
BUCKED	ˈb ʌ k t
BUCKEL	ˈb ʌ k ə l
BUCKELEW	ˈb ʌ k ɪ l uː
BUCKELS	ˈb ʌ k ə l z
BUCKET	ˈb ʌ k ɪ t
BUCKETS	ˈb ʌ k ə t s
BUCKEY	ˈb ʌ k i
BUCKEYE	ˈb ʌ ˌk a ɪ
BUCKEYES	ˈb ʌ ˌk a ɪ z
BUCKHANTZ	ˈb ʌ k ˌh æ n t s
BUCKHOLTZ	ˈb ʌ k ˌh o ʊ l t s
BUCKHOLZ	ˈb ʌ k h o ʊ l z
BUCKHORN	ˈb ʌ k ˌh ɔ r n
BUCKING	ˈb ʌ k ɪ ŋ
BUCKINGHAM	ˈb ʌ k ɪ ŋ ˌh æ m
BUCKLAND	ˈb ʌ k l ə n d
BUCKLE	ˈb ʌ k ə l
BUCKLED	ˈb ʌ k ə l d
BUCKLER	ˈb ʌ k ə l ɝ
BUCKLER	ˈb ʌ k l ɝ
BUCKLES	ˈb ʌ k ə l z
BUCKLEW	ˈb ʌ k l uː
BUCKLEY	ˈb ʌ k l i
BUCKLIN	ˈb ʌ k l ɪ n
BUCKLING	ˈb ʌ k l ɪ ŋ
BUCKMAN	ˈb ʌ k m ə n
BUCKMASTER	ˈb ʌ k ˌm æ s t ɝ
BUCKMINSTER	ˈb ʌ k ˌm ɪ n s t ɝ
BUCKNAM	ˈb ʌ k n ə m
BUCKNELL	ˌb ə k ˈn ɛ l
BUCKNER	ˈb ʌ k n ɝ
BUCKO	ˈb ʌ k o ʊ
BUCKS	ˈb ʌ k s
BUCKSHOT	ˈb ʌ k ˌʃ ɑː t
BUCKSKIN	ˈb ʌ k ˌs k ɪ n
BUCKSKINS	ˈb ʌ k ˌs k ɪ n z
BUCKSTEIN	ˈb ʌ k ˌs t iː n
BUCKTHORN	ˈb ʌ k ˌθ ɔ r n
BUCKWALTER	ˈb ʌ k w ə l t ɝ
BUCKWHEAT	ˈb ʌ ˌk w iː t
BUCKY	ˈb ʌ k i
BUCOBA	b j uː ˈk o ʊ b ə
BUCOLIC	b j uː ˈk ɑː l ɪ k
BUCS	ˈb ʌ k s
BUCS'	ˈb ʌ k s
BUCY	ˈb j uː s i
BUCZEK	ˈb ʌ t ʃ ɛ k
BUCZKOWSKI	b ə t ʃ ˈk ɔ f s k i
BUCZYNSKI	b ə ˈt ʃ ɪ n s k i
BUD	ˈb ʌ d
BUD'S	ˈb ʌ d z
BUD-TEST	ˈb ʌ d ˈt ɛ s t
BUDAI	b uː ˈd ɑː i
BUDAPEST	ˈb uː d ə ˌp ɛ s t
BUDAPEST	ˈb uː d ə ˌp ɛ ʃ t
BUDAPEST'S	ˈb uː d ə ˌp ɛ s t s
BUDAPEST'S	ˈb uː d ə ˌp ɛ ʃ t s
BUDAY	ˈb uː d e ɪ
BUDD	ˈb ʌ d
BUDDE	ˈb ʌ d
BUDDEN	ˈb ʌ d ə n
BUDDENBROOKS	ˈb ʌ d ə n ˌb r ʊ k s
BUDDENHAGEN	ˈb ʌ d ɪ n h ə g ə n
BUDDHA	ˈb uː d ə
BUDDHA'S	ˈb uː d ə z
BUDDHISM	ˈb uː d ɪ z ə m
BUDDHIST	ˈb uː d ə s t
BUDDHISTS	ˈb uː d ə s t s
BUDDIE	ˈb ʌ d i
BUDDIER	ˈb ʌ d iː ɝ
BUDDIERS	ˈb ʌ d iː ɝ z
BUDDIES	ˈb ʌ d iː z
BUDDIN	ˈb ʌ d ɪ n
BUDDING	ˈb ʌ d ɪ ŋ
BUDDY	ˈb ʌ d i
BUDDY'S	ˈb ʌ d iː z
BUDER	ˈb j uː d ɝ
BUDGE	ˈb ʌ d ʒ
BUDGED	ˈb ʌ d ʒ d
BUDGET	ˈb ʌ d ʒ ɪ t
BUDGET'S	ˈb ʌ d ʒ ɪ t s
BUDGETARY	ˈb ʌ d ʒ ɪ ˌt ɛ r i
BUDGETED	ˈb ʌ d ʒ ɪ t ə d
