1/2	h ˈɑ f
feet	f ˈi t
feisty	f ˈa ɪ s t i
feline	f ˈi l ˌa ɪ n
fell	f ˈɛ l
fella	f ˈɛ l l ə
fellow	f ˈɛ l o ʊ
fellows	f ˈɛ l o ʊ z
felt	f ˈɛ l t
female	f ˈi m ˌe ɪ l
females	f ˈi m ˌe ɪ l z
fence	f ˈɛ n s
fenced	f ˈɛ n s t
fences	f ˈɛ n s ɪ z
fend	f ˈɛ n d
fending	f ˈɛ n d ɪ ŋ
fennec	f ˈɛ n ɪ k
fern	f ˈɚ n
ferns	f ˈɚ n z
ferocious	f ɚ ɹ ˈo ʊ ʃ ə s
ferocity	f ɚ ɹ ˈɑ s s ə t i
ferris	f ˈɛ ɹ ɹ ɪ s
ferry	f ˈɛ ɹ i
fertile	f ˈɚ t ə l
fertiliser	f ˈɚ t ˈɪ l ˌa ɪ z ɚ
fertilizer	f ˈɚ t ɪ l ˌa ɪ z ɚ
fervor	f ˈɚ v ˈɚ
festival	f ˈɛ s t ɪ v ə l
festive	f ˈɛ s t ɪ v
fetch	f ˈɛ t͡ʃ
fetches	f ˈɛ t͡ʃ ɪ z
fete	f ˈe ɪ t
fethers	f ˈɛ ð ɚ z
fever	f i v ə ɹ
feverish	f ˈi v ɚ ɪ ʃ
few	f j ˈu
fewer	f j ˈu ɚ
fff	f f
fibers	f ˈa ɪ b ɚ z
fibres	f ˈa ɪ b ɚ z
fiction	f ˈɪ k ʃ ə n
fiddle	f ˈɪ d ə l
fidget	f ˈɪ d͡ʒ ɪ t
field	f ˈi l d
fields	f ˈi l d z
fiendish	f ˈi n d ɪ ʃ
fierce	f ˈɪ ɹ s
fifteen	f ɪ f t ˈi n
fifth	f ˈɪ f θ
fifty	f ˈɪ f t i
fig	f ˈɪ ɡ
fight	f ˈa ɪ t
fighter	f ˈa ɪ t ɚ
fighting	f ˈa ɪ t ɪ ŋ
fights	f ˈa ɪ t s
figment	f ˈɪ ɡ m ɪ n t
figure	f ˈɪ ɡ j ɚ
figured	f ˈɪ ɡ j ɚ d
figures	f ˈɪ ɡ ə ɹ z
file	f ˈa ɪ l
files	f ˈa ɪ l z
fill	f ˈɪ l
filled	f ˈɪ l d
filling	f ˈɪ l ɪ ŋ
fills	f ˈɪ l z
film	f ˈɪ l m
films	f ˈɪ l m z
filmy	f ˈɪ l m i
filth	f ˈɪ l θ
fin	f ˈɪ n
final	f ˈa ɪ n ə l
finally	f ˈa ɪ n ə l i
finch	f ˌi n t͡ʃ
find	f ˈa ɪ n d
finding	f ˈa ɪ n d ɪ ŋ
finds	f ˈa ɪ n d z
fine	f ˈa ɪ n
finery	f ˈa ɪ n ˈɛ ɚ ɹ i
finger	f ˈɪ ŋ ɡ ɚ
fingers	f ˈɪ ŋ ɡ ɚ z
finish	f ˈɪ n ɪ ʃ
finished	f ˈɪ n ɪ ʃ t
finishes	f ˈɪ n ɪ ʃ ɪ z
finishing	f ˈɪ n ɪ ʃ ɪ ŋ
finn	f ˈɪ n
fins	f ˈɪ n z
fire	f ˈa ɪ ɚ
fireballs	f ˈa ɪ ɚ b ˌɔ l z
fireflies	f ˈa ɪ ɚ f l ˌa ɪ z
firefly	f ˈa ɪ ɚ f l ˌa ɪ
firefly's	f ˈa ɪ ɹ f l ˈa ɪ z
fires	f ˈa ɪ ɚ z
firework	f ˈa ɪ ɚ w ˌɚ k
fireworks	f ˈa ɪ ɚ w ˌɚ k s
firing	f ˈa ɪ ɹ ɪ ŋ
firm	f ˈɚ m
firmly	f ˈɚ m l i
first	f ˈɚ s t
firstly	f ˈɚ s t l i
fish	f ˈɪ ʃ
fisherman	f ˈɪ ʃ ɚ m ə n
fishes	f ˈɪ ʃ ɪ z
fishing	f ˈɪ ʃ ɪ ŋ
fishy	f ˈɪ ʃ i
fist	f ˈɪ s t
fists	f ˈɪ s t s
fit	f ˈɪ t
fits	f ˈɪ t s
five	f ˈa ɪ v
fives	f ˈa ɪ v z
fix	f ˈɪ k s
fixed	f ˈɪ k s t
fixes	f ˈɪ k s ɪ z
fixing	f ˈɪ k s ɪ ŋ
fizzes	f ˈɪ z ɪ z
flag	f l ˈæ ɡ
flags	f l ˈæ ɡ z
flake	f l ˈe ɪ k
flaked	f l ˈe ɪ k t
flakes	f l ˈe ɪ k s
flame	f l ˈe ɪ m
flames	f l ˈe ɪ m z
flamingo	f l ə m ˈɪ ŋ ɡ o ʊ
flamingos	f l ə m ˈɪ ŋ ɡ o ʊ z
flank	f l ˈæ ŋ k
flanked	f l ˈæ ŋ k t
flap	f l ˈæ p
flapped	f l ˌæ p d
flapping	f l ˈæ p ɪ ŋ
flaps	f l ˈæ p s
flash	f l ˈæ ʃ
flashes	f l ˈæ ʃ ɪ z
flashing	f l ˈæ ʃ ɪ ŋ
flask	f l ˈæ s k
flasks	f l ˈæ s k s
flat	f l ˈæ t
flatly	f l ˈæ t l i
flatten	f l ˈæ t ə n
flavor	f l ˈe ɪ v ɚ
flavors	f l ˈe ɪ v ɚ z
flavour	f l ˈe ɪ v ɚ
flavours	f l ˈe ɪ v ɚ z
flaw	f l ˈɔ
flaws	f l ˈɔ z
flea	f l ˈi
fleas	f l ˈi z
flecks	f l ˈɛ k s
fled	f l ˈɛ d
flee	f l ˈi
flees	f l ˈi z
flesh	f l ˈɛ ʃ
fleshy	f l ˈɛ ʃ i
fletcher	f l ˈɛ t͡ʃ ɚ
fletching	f l ˈɛ t͡ʃ ɪ ŋ
flew	f l ˈu
flex	f l ˈɛ k s
flexible	f l ˈɛ k s ə b ə l
flick	f l ˈɪ k
flicked	f l ˈɪ k t
flickered	f l ˈɪ k ɚ d
flicking	f l ˈɪ k ɪ ŋ
flicks	f l ˈɪ k s
flies	f l ˈa ɪ z
flight	f l ˈa ɪ t
flights	f l ˈa ɪ t s
fling	f l ˈɪ ŋ
flings	f l ˈɪ ŋ z
flint	f l ˈɪ n t
flip	f l ˈɪ p
flipped	f l ˈɪ p t
flipper	f l ˈɪ p p ɚ
flippers	f l ˈɪ p ɚ z
flips	f l ˈɪ p s
flit	f l ˈɪ t
flits	f l ˈɪ t s
flitting	f l ˈɪ t ɪ ŋ
float	f l ˈo ʊ t
floated	f l ˈo ʊ t ɪ d
floating	f l ˈo ʊ t ɪ ŋ
floats	f l ˈo ʊ t s
flock	f l ˈɑ k
flood	f l ˈʌ d
flooded	f l ʌ d ə d
floods	f l ʌ d z
floor	f l ˈɔ ɹ
floors	f l ɔ ɹ z
flop	f l ˈɑ p
floppy	f l ˈɑ p i
flops	f l ˈɑ p s
floss	f l ˈɑ s
flour	f l ˈa ʊ ɚ
flow	f l ˈo ʊ
flower	f l ˈa ʊ ɚ
flower's	f l ˈa ʊ ɚ z
flowerbed	f l ˈa ʊ ɚ b ɪ d
flowers	f l ˈa ʊ ɚ z
flowing	f l ˈo ʊ w i ŋ
flown	f l ˈo ʊ n
flows	f l ˈo ʊ z
flu	f l ˈu
fluent	f l ˈu ə n t
fluff	f l ˈʌ f
fluffy	f l ˈʌ f i
fluid	f l ˈu ɪ d
fluids	f l ˈu ɪ d z
flung	f l ˈʌ ŋ
flunk	f l ˈʌ ŋ k
flush	f l ˈʌ ʃ
flushes	f l ˈʌ ʃ ɪ z
flute	f l ˈu t
flutes	f l ˈu t s
fluttered	f l ˈʌ t t ɚ d
fly	f l ˈa ɪ
flyers	f l a ɪ ə z
flying	f l ˈa ɪ ɪ ŋ
foam	f ˈo ʊ m
foamy	f ˈo ʊ m i
focus	f ˈo ʊ k ə s
focused	f ˈo ʊ k ə s t
fod	f ˈɑ d
fodder	f ˈɑ d ɚ
fog	f ˈɔ ɡ
foil	f ˈɔ ɪ l
foiled	f ˈɔ ɪ l d
foils	f ˈɔ ɪ l z
fold	f ˈo ʊ l d
folded	f ˈo ʊ l d ɪ d
folds	f ˈo ʊ l d z
folklore	f ˈo ʊ k l ˌɔ ɹ
folks	f ˈo ʊ l k s
follow	f ˈɑ l o ʊ
followed	f ˈɑ l o ʊ d
followers	f ˈɑ l l o ʊ ɚ z
following	f ˈɑ l o ʊ ɪ ŋ
follows	f ˈɑ l o ʊ z
fond	f ˈɑ n d
food	f ˈu d
foods	f ˈu d z
fool	f ˈu l
foolish	f ˈu l ɪ ʃ
foot	f ˈʊ t
footage	f ˈʊ t ɪ d͡ʒ
football	f ˈʊ t b ˌɔ l
footpath	f ˈʊ t p ˌæ θ
footprint	f ˈʊ t p ɹ ˌɪ n t
footprints	f ˈʊ t p ɹ ˌɪ n t s
footsteps	f ˈʊ t s t ˌɛ p s
for	f ˈɔ ɹ
forage	f ˈɔ ɹ ɪ d͡ʒ
forbidden	f ɚ b ˈɪ d d ə n
force	f ˈɔ ɹ s
forced	f ˈɔ ɹ s t
fore	f ˈɔ ɹ
forecast	f ˈɔ ɹ k ˌæ s t
forefront	f ˈɔ ɹ f ɹ ˌʌ n t
forehead	f ˈɔ ɹ h ɛ d
foreheads	f ˈɔ ɹ h ˌɛ d z
foreign	f ˈɔ ɹ ə n
forelimb	f ˈɔ ɹ l ˌɪ m
forelimbs	f ˈɔ ɹ l ˌɪ m z
foresee	f ɔ ɹ s ˈi
forest	f ˈɔ ɹ ɪ s t
forester	f ˈɔ ɹ ɪ s t ɚ
forests	f ˈɔ ɹ ɪ s t s
forever	f ɚ ˈɛ v v ɚ
forget	f ɚ ɡ ˈɛ t
forgetful	f ɚ ɡ ˈɛ t f ə l
forgetfulness	f ˈɔ ɹ ɡ ɪ t f ə l n ə s
forgets	f ɚ ɡ ˈɛ t s
forgot	f ɚ ɡ ˈɑ t
forgotten	f ɚ ɡ ˈɑ t t ə n
fork	f ˈɔ ɹ k
forked	f ˈɔ ɹ k t
forks	f ˈɔ ɹ k s
form	f ˈɔ ɹ m
formal	f ˈɔ ɹ m ə l
formation	f ɔ ɹ m ˈe ɪ ʃ ə n
formed	f ˈɔ ɹ m d
formidable	f ˈɔ ɹ m ə d ə b ə l
forms	f ˈɔ ɹ m z
formulate	f ˈɔ ɹ m j u l ˌe ɪ t
forth	f ˈɔ ɹ θ
fortress	f ˈɔ ɹ t ɹ ə s
fortunate	f ˈɔ ɹ t͡ʃ ə n ɪ t
fortune	f ˈɔ ɹ t͡ʃ u n
forty	f ˈɔ ɹ t i
forward	f ˈɔ ɹ w ɚ d
forwards	f ˈɔ ɹ w ɚ d z
fossil	f ˈɑ s ə l
fossils	f ˈɑ s ə l z
fought	f ˈɔ t
foul	f ˈa ʊ l
found	f ˈa ʊ n d
fountain	f ˈa ʊ n t ə n
fountains	f ˈa ʊ n t ə n z
four	f ˈɔ ɹ
four-legged	f ˈɔ ɹ l ˈɛ ɡ d
fours	f ˈɔ ɹ z
fourteenth	f ˌɔ ɹ t ˈi n θ
fox	f ˈɑ k s
foxes	f ˈɑ k s ɪ z
fragment	f ɹ ˈæ ɡ m ə n t
fragment	f ɹ æ ɡ m ˈɛ n t
fragments	f ɹ æ ɡ m ˈɛ n t s
fragments	f ɹ ˈæ ɡ m ə n t s
fragrance	f ɹ ˈe ɪ ɡ ɹ ə n s
fragrant	f ɹ ˈe ɪ ɡ ɹ ə n t
frame	f ɹ ˈe ɪ m
frames	f ɹ ˈe ɪ m z
frantically	f ɹ ˈæ n t ɪ k l l i
fraught	f ɹ ˈɔ t
freak	f ɹ ˈi k
free	f ɹ ˈi
freed	f ɹ ˈi d
freeing	f ɹ ˈi ɪ ŋ
freely	f ɹ ˈi l i
frees	f ɹ ˈi z
freeze	f ɹ ˈi z
freezing	f ɹ ˈi z ɪ ŋ
freight	f ɹ ˈe ɪ t
freighted	f ɹ ˈa ɪ t ɪ d
french	f ɹ ˈɛ n t͡ʃ
frenzy	f ɹ ˈɛ n z i
frequent	f ɹ ˈi k w ə n t
frequent	f ɹ ɪ k w ˈɛ n t
fresh	f ɹ ˈɛ ʃ
fret	f ɹ ˈɛ t
frets	f ɹ ˈɛ t s
friday	f ɹ ˈa ɪ d ˌe ɪ
fridge	f ɹ ˈɪ d͡ʒ
fried	f ɹ ˈa ɪ d
friend	f ɹ ˈɛ n d
friend's	f ɹ ˈɛ n d z
friendly	f ɹ ˈɛ n d l i
friends	f ɹ ˈɛ n d z
friendship	f ɹ ˈɛ n d ʃ ɪ p
friendships	f ɹ ˈɛ n d ʃ ɪ p s
fries	f ɹ ˈa ɪ z
fright	f ɹ ˈa ɪ t
frighten	f ɹ ˈa ɪ t ə n
frightened	f ɹ ˈa ɪ t ə n d
frightening	f ɹ ˈa ɪ t n ɪ ŋ
frightens	f ɹ ˈa ɪ t ə n z
frill	f ɹ ˈɪ l
frills	f ɹ ˈɪ l z
fro	f ɹ ˈo ʊ
frog	f ɹ ˈɑ ɡ
frogs	f ɹ ˈɑ ɡ z
from	f ɹ ˈʌ m
frond	f ɹ ˈɑ n d
front	f ɹ ˈʌ n t
fronts	f ɹ ˈʌ n t s
frost	f ɹ ˈɔ s t
frown	f ɹ ˈa ʊ n
frowned	f ɹ ˈa ʊ n d
frowning	f ɹ ˈa ʊ n ɪ ŋ
frowns	f ɹ ˈa ʊ n z
froze	f ɹ ˈo ʊ z
frozen	f ɹ ˈo ʊ z ə n
fruit	f ɹ ˈu t
fruits	f ɹ ˈu t s
frustrate	f ɹ ˈʌ s t ɹ ˌe ɪ t
frustrated	f ɹ ˈʌ s t ɹ ˌe ɪ t ɪ d
frustrates	f ɹ ˈʌ s t ɹ ˌe ɪ t s
frustration	f ɹ ə s t ɹ ˈe ɪ ʃ ə n
fry	f ɹ ˈa ɪ
fuel	f j ˈu ɚ l
ful	f ˈʊ l
full	f ˈʊ l
full-time	f ˈʊ l t ˈa ɪ m
fully	f ʊ l ˌi
fun	f ˈʌ n
fungus	f ˈʌ ŋ ɡ ə s
funk	f ˈʌ ŋ k
funny	f ˈʌ n i
fur	f ˈɚ
furball	f ˈɚ b ˈɑ l
furnace	f ˈɚ n ə s
furnish	f ˈɚ n ɪ ʃ
furniture	f ˈɚ n ɪ t͡ʃ ɚ
furry	f ˈɚ i
further	f ˈɚ ð ɚ
fuss	f ˈʌ s
fusses	f ˈʌ s ɪ z
fussy	f ˈʌ s i
future	f j ˈu t͡ʃ ɚ
fuzz	f ˈʌ z
fuzzy	f ˈʌ z i
g	ɡ ɹ ˌæ m z
g-h	d͡ʒ ˈi ˈe ɪ t͡ʃ
g-n	d͡ʒ ˈi ˈɛ n
gad	ɡ ˈæ d
gain	ɡ ˈe ɪ n
gained	ɡ a ɪ n d
gains	ɡ ˈe ɪ n z
gamble	ɡ ˈæ m b ə l
game	ɡ ˈe ɪ m
gamelan	ɡ ʌ m ə l ʌ n
gameplay	ɡ ˈe ɪ m p l ˌe ɪ
games	ɡ ˈe ɪ m z
gang	ɡ ˈæ ŋ
gaol	ɡ ˈe ɪ l
gap	ɡ ˈæ p
gape	ɡ ˈe ɪ p
gapes	ɡ ˈe ɪ p z
gaps	ɡ ˈæ p s
garage	ɡ ɚ ɹ ˈɑ ʒ
garbage	ɡ ˈɑ ɹ b ɪ d͡ʒ
garden	ɡ ˈɑ ɹ d ə n
gardener	ɡ ˈɑ ɹ d ə n ɚ
gardeners	ɡ ˈɑ ɹ d n ɚ z
gardens	ɡ ˈɑ ɹ d ə n z
gargoyle	ɡ ˈɑ ɹ ɡ ˌɔ ɪ l
gargoyles	ɡ ˈɑ ɹ ɡ ˌɔ ɪ l z
gas	ɡ ˈæ s
gasp	ɡ ˈæ s p
gasps	ɡ ɑ s p s
gate	ɡ ˈe ɪ t
gates	ɡ ˈe ɪ t s
gather	ɡ ˈæ ð ɚ
gathered	ɡ ˈæ ð ɚ d
gathering	ɡ ˈæ ð ɚ ɪ ŋ
gathers	ɡ ˈæ ð ɚ z
gaunt	ɡ ˈɔ n t
gave	ɡ ˈe ɪ v
gawking	ɡ ˈɔ k ɪ ŋ
gaze	ɡ ˈe ɪ z
gazes	ɡ ˈe ɪ z ɪ z
gear	ɡ ˈɪ ɹ
geckos	ɡ ɛ k ˈo ʊ z
gee	d͡ʒ ˈi
geese	ɡ ˈi s
geeze	d͡ʒ ˈi z
gem	d͡ʒ ˈɛ m
gems	d͡ʒ ˈɛ m z
generally	d͡ʒ ˈɛ n ɚ ə l i
generate	d͡ʒ ˈɛ n ɚ e ɪ t
generated	d͡ʒ ˈɛ n ə ɹ ˌe ɪ t ə d
generation	d͡ʒ ˌɛ n n ɚ ˈe ɪ ʃ ə n
generations	d͡ʒ ˌɛ n ɚ ɹ ˈe ɪ ʃ ə n z
generator	d͡ʒ ˈɛ n ɚ ˌe ɪ t ɚ
generous	d͡ʒ ˈɛ n n ɚ ə s
gentle	d͡ʒ ˈɛ n t ə l
gently	d͡ʒ ˈɛ n t l i
genuine	d͡ʒ ˈɛ n j u ɪ n
geode	d͡ʒ ˈi o ʊ d
george	d͡ʒ ˈɔ ɹ d͡ʒ
germ	d͡ʒ ˈɚ m
german	d͡ʒ ˈɚ m ə n
germen	ɡ ˈɚ m ə n
germs	d͡ʒ ˈɚ m z
gesture	d͡ʒ ˈɛ s t͡ʃ ɚ
get	ɡ ˈɛ t
gets	ɡ ɛ t s
getting	ɡ ˈɛ t ɪ ŋ
gharial	ɡ ˈɑ ɹ i ə l
gharials	ɡ ˈɑ ɹ i ə l z
ghast	ɡ ˈæ s t
ghastly	ɡ ˈæ s t l i
ghasts	ɡ ˈæ s t s
ghost	ɡ ˈo ʊ s t
ghostly	ɡ ˈo ʊ s t l i
ghosts	ɡ ˈo ʊ s t s
ghoul	ɡ ˈu l
ghoulish	ɡ ˈu l ɪ ʃ
ghouls	ɡ ˈʊ l z
giant	d͡ʒ ˈa ɪ ə n t
giants	d͡ʒ ˈa ɪ ə n t s
gibbons	ɡ ˈɪ b ə n z
gift	ɡ ˈɪ f t
gifts	ɡ ˈɪ f t s
gigantic	d͡ʒ a ɪ ɡ ˈæ n t ɪ k
giggle	ɡ ˈɪ ɡ ə l
giggled	ɡ ˈɪ ɡ ə l d
giggles	ɡ ˈɪ ɡ ə l z
gills	ɡ ˈɪ l z
gimble	ɡ ˈɪ m b ə l
gimp	ɡ ˈɪ m p
gimp-pee	ɡ ˈɪ m p p ˈi
ginger	d͡ʒ ˈɪ n d͡ʒ ɚ
gingerbread	d͡ʒ i n d͡ʒ ə ɹ b ɹ ɛ d
ginseng	d͡ʒ ˈɪ n s ˌɛ ŋ
giraffe	d͡ʒ ɚ ɹ ˈæ f
giraffes	d͡ʒ ɚ ɹ ˈæ f s
girl	ɡ ˈɚ l
girl's	ɡ ˈɚ l z
girls	ɡ ˈɚ l z
give	ɡ ˈɪ v
given	ɡ ˈɪ v ə n
gives	ɡ ˈɪ v z
giving	ɡ ˈɪ v ɪ ŋ
gizzard	ɡ ˈɪ z z ɚ d
gizzards	ɡ ˈɪ z z ɚ d z
glad	ɡ l ˈæ d
glade	ɡ l ˈe ɪ d
gladly	ɡ l ˈæ d l i
glance	ɡ l ˈæ n s
glass	ɡ l ˈæ s
glasses	ɡ l ˈæ s ɪ z
glaze	ɡ l ˈe ɪ z
glazes	ɡ l ˈe ɪ z ɪ z
gleaming	ɡ l ˈi m ɪ ŋ
gleams	ɡ l ˈi m z
glee	ɡ l ˈi
glide	ɡ l ˈa ɪ d
glider	ɡ l ˈa ɪ d ɚ
glides	ɡ l ˈa ɪ d z
glimmer	ɡ l ˈɪ m ɚ
glistened	ɡ l ˈɪ s ə n d
glitches	ɡ l ˈɪ t͡ʃ ə z
glitter	ɡ l ˈɪ t ɚ
glittering	ɡ l ˈɪ t ɚ ɪ ŋ
globe	ɡ l ˈo ʊ b
globs	ɡ l ˈɑ b z
gloom	ɡ l ˈu m
gloomily	ɡ l ˈu m ə l i
gloomy	ɡ l ˈu m i
gloop	ɡ l ˈu p
glorious	ɡ l ˈɔ ɹ i ə s
gloved	ɡ l ˈʌ v d
glow	ɡ l ˈo ʊ
glowed	ɡ l ˈo ʊ d
glowering	ɡ l ˈa ʊ w ɚ ɹ ɪ ŋ
glowing	ɡ l ˈo ʊ ɪ ŋ
glows	ɡ l ˈo ʊ z
glue	ɡ l ˈu
glum	ɡ l ˈʌ m
glumly	ɡ l ˈʌ m l i
gnarled	n ˈɑ ɹ l d
gnash	n ˈæ ʃ
gnashed	ɡ n ˈæ ʃ t
gnashes	n ˈæ ʃ ə z
gnashing	n ˈæ ʃ ɪ ŋ
gnat	n ˈæ t
gnats	n ˈæ t s
gnaw	n ˈɔ
gnawed	n ˈɔ d
gnawing	n ˈɔ ˈɪ ŋ
gnome	n ˈo ʊ m
gnomes	n ˈo ʊ m z
go	ɡ ˈo ʊ
goal	ɡ ˈo ʊ l
goalkeeper	ɡ ˈo ʊ l k ˈi p ɚ
goalkeepers	ɡ ˈo ʊ l k ˈi p ɚ z
goals	ɡ ˈo ʊ l z
goat	ɡ ˈo ʊ t
goats	ɡ ˈo ʊ t s
gobble	ɡ ˈɑ b ə l
gobbled	ɡ ˈɑ b ə l d
gobbles	ɡ ˈɑ b ə l z
gobbling	ɡ ˈɑ b ə l ɪ ŋ
god	ɡ ˈɑ d
god's	ɡ ˈɑ d z
goes	ɡ o ʊ z
gogo	ɡ ˈo ʊ ɡ o ʊ
going	ɡ ˈo ʊ ɪ ŋ
gold	ɡ ˈo ʊ l d
golden	ɡ ˈo ʊ l d ə n
golem	ɡ ˈo ʊ l ə m
golem's	ɡ ˈo ʊ l ə m z
golems	ɡ ˈo ʊ l ə m z
golf	ɡ ˈɑ l f
gone	ɡ ˈɔ n
goo	ɡ ˈu
good	ɡ ˈʊ d
goodbye	ɡ ˌʊ d b ˈa ɪ
goodnight	ɡ ˈʊ d n ˌa ɪ t
goods	ɡ ˈʊ d z
goop	ɡ ˈu p
goose	ɡ ˈu s
gorillas	ɡ ə ɹ ˈi l l ə z
gosh	ɡ ˈɑ ʃ
gossip	ɡ ˈɑ s ə p
gossiping	ɡ ɑ s ə p ˌi ŋ
got	ɡ ˈɑ t
gotten	ɡ ˈɑ t ə n
government	ɡ ˈʌ v ɚ n m ə n t
gown	ɡ ˈa ʊ n
gowns	ɡ ˈa ʊ n z
goya	ɡ ˈɔ ɪ j ˈɑ
goya's	ɡ ˈɔ ɪ ə z
grab	ɡ ɹ ˈæ b
grabbed	ɡ ɹ ˈæ b d
grabs	ɡ ɹ ˈæ b z
grace	ɡ ɹ ˈe ɪ s
grade	ɡ ɹ ˈe ɪ d d
grades	ɡ ɹ ˈe ɪ d z
graduate	ɡ ɹ ˈæ d͡ʒ u ɪ t
graduate	ɡ ɹ ˈæ d͡ʒ u ˌe ɪ t
graduates	ɡ ɹ ˈæ d͡ʒ u ˌe ɪ t s
graduates	ɡ ɹ ˈæ d͡ʒ u ɪ t s
graffiti	ɡ ɹ ə f ˈi t i
grail	ɡ ɹ ˈe ɪ l
grain	ɡ ɹ ˈe ɪ n
gran	ɡ ɹ ˈæ n
gran's	ɡ ɹ ˈæ n z
grand	ɡ ɹ ˈæ n d
grandad	ɡ ɹ ˈæ n d ˌæ d
grandad's	ɡ ɹ ˈæ n d ˌæ d z
grandads	ɡ ɹ ˈæ n d ˌæ d z
granddaughter	ɡ ɹ ˈæ n d ˌɔ t ɚ
grandfather	ɡ ɹ ˈæ n d f ˌɑ ð ɚ
grandma	ɡ ɹ ˈæ n d m ɑ
grandmother	ɡ ɹ ˈæ n d m ˌʌ ð ɚ
grandmother's	ɡ ɹ ˈæ n d m ˌʌ ð ɚ z
grandmothers	ɡ ɹ ˈæ n d m ˌʌ ð ɚ z
grandpa	ɡ ɹ ˈæ n d p ˌɑ
grandpa's	ɡ ɹ ˈæ n p ˌɑ z
granny	ɡ ɹ ˈæ n i
grant	ɡ ɹ ˈæ n t
granted	ɡ ɹ ˈæ n t ɪ d
graph	ɡ ɹ ˈæ f
graphs	ɡ ɹ ˈæ f s
grasp	ɡ ɹ ˈæ s p
grasped	ɡ ɹ ˈæ s p t
grass	ɡ ɹ ˈæ s
grasses	ɡ ɹ ˈæ s ɪ z
grasshopper	ɡ ɹ ˈæ s h ˌɑ p ɚ
grate	ɡ ɹ ˈe ɪ t
grateful	ɡ ɹ ˈe ɪ t f ə l
gratefully	ɡ ɹ ˈe ɪ t f ə l i
gratitude	ɡ ɹ ˈæ t ə t ˌu d
gravel	ɡ ɹ ˈæ v ə l
gravity	ɡ ɹ ˈæ v ɪ t i
gray	ɡ ɹ ˈe ɪ
graze	ɡ ɹ ˈe ɪ z
grazing	ɡ ɹ ˈe ɪ z ɪ ŋ
great	ɡ ɹ ˈe ɪ t
greek	ɡ ɹ ˈi k
green	ɡ ɹ ˈi n
greenery	ɡ ɹ ˈi n ɚ ɹ i
greenish	ɡ ɹ ˈi n ɪ ʃ
greet	ɡ ɹ ˈi t
greeting	ɡ ɹ ˈi t ɪ ŋ
greetings	ɡ ɹ ˈi t ˈɪ ŋ z
greets	ɡ ɹ ˈi t s
grew	ɡ ɹ ˈu
grey	ɡ ɹ e ɪ
grey	ɡ ɹ ˈe ɪ
grid	ɡ ɹ ˈɪ d
grief	ɡ ɹ ˈi f
griffin	ɡ ɹ ˈɪ f ɪ n
grime	ɡ ɹ ˈa ɪ m
grin	ɡ ɹ ˈɪ n
grind	ɡ ɹ ˈa ɪ n d
grinding	ɡ ɹ ˈa ɪ n d ɪ ŋ
grinds	ɡ ɹ ˈa ɪ n d z
grinned	ɡ ɹ ˈɪ n d
grinning	ɡ ɹ ˈɪ n n ɪ ŋ
grins	ɡ ɹ ˈɪ n z
grip	ɡ ɹ ˈɪ p
gripping	ɡ ɹ ˈɪ p ɪ ŋ
grit	ɡ ɹ ˈɪ t
grits	ɡ ɹ ˈɪ t s
grizzly	ɡ ɹ ˈɪ z l i
groan	ɡ ɹ ˈo ʊ n
groaned	ɡ ɹ ˈo ʊ n d
groaning	ɡ ɹ ˈo ʊ n ɪ ŋ
groans	ɡ ɹ ˈo ʊ n z
grocery	ɡ ɹ ˈo ʊ s ɚ i
groodle	ɡ ɹ ˈu d ə l
grooves	ɡ ɹ ˈu v z
gross	ɡ ɹ ˈo ʊ s
grossest	ɡ ɹ ˈo ʊ s s ɪ s t
ground	ɡ ɹ ˈa ʊ n d
grounds	ɡ ɹ ˈa ʊ n d z
group	ɡ ɹ ˈu p
groups	ɡ ɹ ˈu p s
grove	ɡ ɹ ˈo ʊ v
grow	ɡ ɹ ˈo ʊ
growing	ɡ ɹ ˈo ʊ ɪ ŋ
growl	ɡ ɹ ˈa ʊ l
growled	ɡ ɹ ˈa ʊ l d
growling	ɡ ɹ ˈo ʊ l ɪ ŋ
growls	ɡ ɹ ˈa ʊ l z
grown	ɡ ɹ ˈo ʊ n
grown-up	ɡ ɹ ˈo ʊ n ˈʌ p
grows	ɡ ɹ ˈo ʊ z
growth	ɡ ɹ ˈo ʊ θ
grub	ɡ ɹ ˈʌ b
grubs	ɡ ɹ ˈʌ b z
gruff	ɡ ɹ ˈʌ f
grumble	ɡ ɹ ˈʌ m b ə l
grumpily	ɡ ɹ ˈʌ m p ə l i
grumpy	ɡ ɹ ˈʌ m p i
grunt	ɡ ɹ ˈʌ n t
grunted	ɡ ɹ ˈʌ n t ɪ d
grunting	ɡ ɹ ˈʌ n t ɪ ŋ
grunts	ɡ ɹ ʌ n t z
gryphon	ɡ ɹ ˈɪ f ɪ n
guard	ɡ ˈɑ ɹ d
guardian	ɡ ˈɑ ɹ d i ə n
guardians	ɡ ˈɑ ɹ d i ə n z
guards	ɡ ˈɑ ɹ d z
guava	ɡ w ˈɑ v ə
guavas	ɡ w ˈɑ v ə z
guess	ɡ ˈɛ s
guessed	ɡ ˈɛ s t
guesses	ɡ ˈɛ s ɪ z
guest	ɡ ˈɛ s t
guests	ɡ ˈɛ s t s
guh	ɡ ˈʌ
guide	ɡ ˈa ɪ d
guided	ɡ ˈa ɪ d ɪ d
guildford	ɡ w ˈɪ l d f ɚ d
